LESSON 16 — Vocabulary List
============================

Sl. | Japanese                  | Bangla Meaning
----|---------------------------|----------------------------------------------
1   | のります                  | চড়া/আরোহন করা ( ট্রেনে)
2   | おります                  | নামা ( ট্রেন থেকে নামা )
3   | のりかえます              | বদলি করা (এক ট্রেন থেকে অন্য ট্রেনে)
4   | あびます                  | (গোসল) করা/নেওয়া
5   | いれます                  | ঢুকানো
6   | だします                  | উত্তোলন করা/বের করা
7   | はいります                | ঢোকা / ভর্তি হওয়া
8   | でます                    | বের হওয়া / পাশ করে বের হওয়া
9   | やめます                  | ছেড়ে দেওয়া / ত্যাগ করা
10  | おします                  | ধাক্কা দেওয়া/ চাপ দেওয়া
11  | わかい                    | বয়স কম (যুবক/যুবতী)
12  | ながい                    | লম্বা
13  | みじかい                  | খাটো
14  | あかるい                  | উজ্জ্বল
15  | くらい                    | অন্ধকার
16  | せが たかい               | মেরুদন্ড লম্বা > লম্বা
17  | あたまが いい             | মাথা ভালো /বুদ্ধিমান
18  | からだ                    | শরীর
19  | あたま                    | মাথা
20  | かみ (N)                  | চুল/কাগজ
21  | かみます (V)              | চিবানো
22  | かお                      | মুখমণ্ডল
23  | め                        | চোখ
24  | みみ                      | কান
25  | くち                      | মুখ
26  | いりぐち                  | প্রবেশের দরজা/ entrance
27  | でぐち                    | বের হওয়ার দরজা/ exit
28  | は                        | দাঁত
29  | みがきます JLPT N5        | ব্রাশ করা/ মাজা
30  | おなか                    | পেট
31  | あし                      | পা
32  | サービス                  | সার্ভিস
33  | ジョギング                | জগিং করা
34  | シャワー                  | শাওয়ার/গোসল
35  | みどり                    | সবুজ
36  | おてら                    | বুদ্ধ মন্দির
37  | じんじゃ                  | শিনতো মন্দির
38  | りゅうがくせい            | বিদেশী ছাত্র
39  | いちばん                  | সবচেয়ে/১ নম্বর
40  | どうやって                | কীভাবে / কী করে
41  | どの-                     | কোনটা / কোন জন (তিন বা তার বেশির মধ্যে)
42  | 会話/かいわ=              | সংলাপ
43  | おひきだしですか           | টাকা উত্তোলন করবেন কি ?
44  | まず                      | সর্বপ্রথমে
45  | キャッシュカード           | ক্যাশ কার্ড
46  | あんしょう ばんごう       | পিন নম্বর/ পার্সোনাল আইডেন্টিফিকেশন নম্বর
47  | つぎに                    | তারপর
48  | きんがく                  | টাকার পরিমান
49  | けんがくします            | শিক্ষা সফরে যাওয়া
50  | かくにん                  | কনফার্ম (করা)
51  | ボタン                    | বাটন / বোতাম
52  | おろします                | নামিয়ে রাখা বা উত্তোল করা
53  | 読み物 (よみもの)         |
54  | JR                        | জাপান রেলওয়ে
55  | アジア                    | এশিয়া
56  | バンドン                  | বানদন (ইন্দোনেশিয়ার একটি শহর)
57  | ベラクルス                | মেক্সিকোর একটি শহর
58  | フランケン                | জার্মানির একটি শহর
59  | ベトナム                  | ভিয়েতনাম
60  | フエ                      | ভিয়েতনামের একটি শহর
61  | だいがくまえ              | একটি কাল্পনিক বাস

============================
End of Lesson 16 Vocabulary
============================
