LESSON 6 — Vocabulary List
==========================

Sl. | Japanese              | Bangla Meaning
----|----------------------|--------------------------------------
1   | たべます              | খাওয়া
2   | のみます              | পান করা
3   | すいます              | ধুমপান করা
4   | みます                | দেখা
5   | みえます              | দেখতে পারা
6   | ききます              | শোনা/ জিজ্ঞাসা করা
7   | よみます              | পড়া
8   | かきます              | লেখা/ আঁকা
9   | かいます              | কেনা
10  | とります              | (ছবি) তোলা
11  | します                | করা
12  | やります (Informal)   | করা
13  | あいます              | সাক্ষাত করা/ Love
14  | ごはん                | খাবার
15  | あさごはん            | সকালের খাবার
16  | ひるごはん            | দুপুরের খাবার
17  | ばんごはん            | রাতের খাবার
18  | おさら (N5 Listening) | প্লেট
19  | ならべます (N5 Listening) | সাজানো/ডিসপ্লে
20  | なにも                | কিছু________
21  | どこも                | কোথাও________
22  | だれも                | কেউ________
23  | パン                  | রুটি
24  | たまご                | ডিম
25  | にく                  | মাংস
26  | さかな                | মাছ
27  | とびます JLPT N5 (とんでいる) | উড়া/fly
28  | やさい                | সবজি
29  | くだもの              | ফল
30  | みず                  | পানি
31  | おちゃ                | চা/ সবুজ চা
32  | こうちゃ              | কালো চা
33  | ぎゅう                | (গরু)
34  | ぎゅうにゅう          | গরুর দুধ
35  | ミルク                | দুধ
36  | ジュース              | জুস
37  | ビール                | বিয়ার
38  | ぬるいビール          | Sliny beer (এক প্রকার বিয়ার)
39  | (お)さけ              | ওয়াইন/অ্যালকোহল/ভাতের মদ
40  | ビデオ                | ভিডিও
41  | えいが                | সিনেমা
42  | えいがかん            | সিনেমা হল
43  | CD                    | CD
44  | て                    | হাত
45  | かみ (N)              | কাগজ
46  | かみます (V)          | চিবাবো
47  | てがみ                | চিঠি
48  | レポート              | রিপোর্ট
49  | しゃしん              | ছবি/ফেটো
50  | みせ (N)              | দোকান
51  | みせます (V)          | দেখানো
52  | レストラン            | রেস্টুরেন্ট
53  | にわ                  | বাগান
54  | しゅくだい [をします] | হোমওয়ার্ক [করা]
55  | テニス [をします]     | টেনিস
56  | サッカー              | সকার/ফুটবল
57  | (お)はなみ            | চেরিব্লোসম দেখা / ওহানামি
58  | なに                  | কি
59  | いっしょに            | একত্রে
60  | ちょっと              | একটু
61  | いつも                | সবসময়
62  | ときどき              | মাঝেমাঝে
63  | ほかに                | অন্য রকম/ তাছাড়া
64  | それから              | তারপর
65  | ええ                  | হ্যাঁ/ জি
66  | いいですね            | ভালোই তো
67  | わかりました。        | ঠিক আছে / বুঝেছি
68  | 会話/かいわ           | সংলাপ
69  | なんですか            | জি, বলুন ? / আপনার জন্য কি করতে পারি ?
70  | じゃ、また {あした}   | ঠিক আছে, দেখা হবে [আগামীকাল]
71  | おおさかじょうこうえん | ওসাকা ক্যাসল পার্ক
72  | 読み物 (よみもの)     | (reading material — পাঠ্য বিষয়)
73  | メキシコ              | মেক্সিকো
74  | おおさかじょうこうえん | ওসাকা ক্যাসল পার্ক

==========================
End of Lesson 6 Vocabulary
==========================
