নং,জাপানি স্ক্রিপ্ট,বাংলা অর্থ
১,これ,এটা (কাছেরটা)
২,それ,ওটা/এটা (একটু দূরেরটা)
৩,あれ,সেটা/ওইটা (বেশি দূরেরটা)
৪,この,এই (কাছের)
৫,その,ঐ (একটু দূরে)
৬,あの,সেই/ওই (বেশি দূরে)
৭,こんな,এটার মত
৮,そんな,ওটার মতো
৯,あんな,সেটার মতো
১০,ほん,বই
১১,じしょ,ডিকশনারি
১২,じしょをひきます,ডিকশনারি খোঁজা/ব্যবহার করা
১৩,それに,তার উপরে/তাছাড়াও
১৪,それで,এ জন্য
১৫,ざっし,ম্যাগাজিন
১৬,もっと,অধিক/আরও
১৭,しんぶん,পত্রিকা
১৮,ノート,নোটবুক
১৯,てちょう,পকেট নোটবুক
২০,めいし,ভিজিটিং কার্ড/ব্যবসায়িক কার্ড
২১,カード,কার্ড
২২,テレホンカード,টেলিফোন কার্ড
২৩,えんぴつ,এনপিৎসু/পেন্সিল
২৪,ボールペン,বলপেন
২৫,シャープペンシル,মেকানিক্যাল পেন্সিল
২৬,かぎ,চাবি
২৭,とけい,ঘড়ি
২৮,かさ,ছাতা
২৯,さします,(ছাতা) মেলা/খোলা
৩০,あけます,(দরজা/বাক্স) খোলা
৩১,かばん,ব্যাগ
৩২,さいふ,মানিব্যাগ
৩৩,カセットテープ,ক্যাসেট টেপ
৩৪,テープレコーダー,টেপ রেকর্ডার
৩৫,テレビ,টেলিভিশন
৩৬,ラジオ,রেডিও
৩৭,カメラ,ক্যামেরা
৩৮,コンピューター,কম্পিউটার
৩৯,じどうしゃ,গাড়ি
৪০,つくえ,টেবিল
৪১,いす,চেয়ার
৪২,チョコレート,চকলেট
৪৩,コーヒー,কফি
৪৪,えいご,ইংরেজি ভাষা
৪৫,にほんご,জাপানিজ ভাষা
৪৬,～ご,~ ভাষা
৪৭,なん/なに,কি
৪৮,そう,তাই
৪৯,ちがいます,এটা ঠিক না/ভুল
৫০,そうですか,তাই নাকি?
৫১,あのう,ওল (কথা বলার সময় দ্বিধা প্রকাশে ব্যবহৃত)
৫২,ほんのきもちです,এটা সামান্য উপহার মাত্র
৫৩,どうぞ,এই যে নিন/আসুন
৫৪,どうも,ধন্যবাদ
৫৫,ありがとうございます,অনেক ধন্যবাদ
৫৬,(お)みやげ,স্যুভেনির/উপহার
৫৭,えー,অ্যাঁ/কি? (অবাক হলে)
৫৮,あ,ওহ!
৫৯,これからおせわになります,এখন থেকে আপনার সাহায্য আশা করছি
৬০,こちらこそよろしく,আমার পক্ষ থেকেও আপনার সাহায্য কামনা করছি
