No,Japanese Script,Bangla Ortho
1,ここ,এখানে
2,そこ,ঐখানে / ওখানে
3,あそこ,সেখানে
4,どこ,কোথায়
5,こちら,এখানে (সম্মানসূচক)
6,そちら,ওখানে (সম্মানসূচক)
7,あちら,সেখানে (সম্মানসূচক)
8,どちら,কোথায় (সম্মানসূচক)
9,きょうしつ,ক্লাস রুম
10,じゅぎょう,ক্লাস
11,いつ,কখন
12,いつも,সব সময়
13,いつでも,যেকোনো সময়
14,どこでも,যেকোনো জায়গায়
15,だれでも,যে কেউ
16,なんでも,যেকোনো কিছু
17,しょくどう,ক্যান্টিন / ডাইনিং হল
18,じむしょ,অফিস
19,かいぎしつ,মিটিং রুম
20,うけつけ,রিসেপশন ডেস্ক
21,ロビー,লবি
22,へや,রুম
23,おてあらい,টয়লেট
24,かいだん,সিঁড়ি
25,エレベーター,লিফট
26,おくに,দেশ
27,うち,বাড়ি
28,いえ,বাড়ি
29,ようじ,পর্যায়ক্রম / ধারাবাহিকতা
30,でんわ,টেলিফোন
31,ケータイ,মোবাইল
32,くるま,গাড়ি
33,くつ,জুতা
34,ネクタイ,গলার টাই
35,ワイン,ওয়াইন / মদ
36,たばこ,সিগারেট
37,うりば,ডিপার্টমেন্টাল স্টোর / দোকান
38,ちか,পাতাল / বেসমেন্ট
39,かい,তলা
40,なんがい,কত তলা
41,～えん,ইয়েন (জাপানি মুদ্রা)
42,いくら,দাম কত
43,ひゃく,১০০ (এক শত)
44,せん,১০০০ (এক হাজার)
45,まん,১০০০০ (দশ হাজার)
46,じどうはんばいき,ভেন্ডিং মেশিন
47,しけん,পরীক্ষা
48,すみません,Excuse me
49,～でございます,হই / হয় / হন
50,みせ,দোকান
51,～てください,দিন (অনুরোধ বুঝাতে)
52,みせてください,দেখান প্লিজ
53,じゃ,ঠিক আছে / তাহলে
54,[～を] ください,দিন
55,しんおおさか,সিন-ওসাকা (জাপানের একটি জায়গার নাম)
56,イタリア,ইতালি
57,スイス,সুইজারল্যান্ড
58,エスカレーター,এস্কেলেটর
59,ページ,পৃষ্ঠা / পাতা
